Nutriments;Vitamines D3;Bleuets congeles;Salade;Cheddar;Kiwi;Pommes de terre;Patates douces;Quinoa;Seitan;Maquereau;Semoule;Sarrasin;Abricots seche;Lait de coco;Huile de colza;Lait ecreme en poudre;Sauce soja;Fromage Cottage;Crevettes surgelees;Pâtes (SEC);Pain de ble entier;Thon en conserve;Lentilles;Dinde hachee;Tofu;Sardines en conserve;Brocoli;Poivrons rouges;Oignons;Pommes;Noix de cajou;Noisettes;Avocat;Jus d'orange;Sel de mer iodé;Framboises congelees;Mozzarella;Lait ecreme;Fraises congelees;Banane;Carottes;Cerises douces foncees congelees;Petits pois verts;Parmesan;Euf;Poulet;Buuf mi maigre;Avoine;Amande;Huile dolive;Huile de coco;Epinards;Yaourt grecque;Graine chia;Graine lin;Noix du bresil;Saumon;Haricots surgeles;Graine courge;Noix;Levure alimentaire en gros flocons sans gluten;Choux de Bruxelles surgeles;Mais surgeles;Miel;Riz Blanc (SEC);Pois chiche;Beurre d'arachide;Objectif
Prix;24;0.7;1.16;1.55;1.29;0.439;0.214;1.43;1.25;0.8;0.22;0.47;2.4;0.37;0.3;1.24;0.8;0.76;2;0.40;0.42;0.76;0.25;1.55;0.88;2.25;0.6;1.052;0.37;0.66;3.43;6.5;0.42;0.22;0.39;1.5;1.37;0.22;1;0.174;0.28;1;0.32;2.92;0.62;1.32;1.541;0;0;0.95;2;0.8;0.93;0;0;0;0;0.53;0;0;7.04;0.94;0;0.9;0.20;0.38;0.45;0
Proteines;0;0.42;1.01;24.7;0.88;2.0;1.69;4.66;12.5;21.5;4.28;13.3;2.88;1.94;0;35.3;7.25;12.6;23.4;12.5;8.84;26.8;10.1;28.5;13.4;19.5;2.19;0.94;1.3;0.26;17.4;14.4;1.56;0.61;0;1;16.5;3.37;0.63;1.06;0.25;0.81;5.15;31.1;13.5;30.1;23;16.9;18.8;0.25;0.16;3.38;9;16.5;19;14.3;23;1.75;29.5;13.3;40.4;3.19;3.28;0.65;7.13;8.31;22.2;0
Amidon;0;0;0;0;0;15.0;6.14;24.3;13.7;0;22.1;67.5;0;0;0;0;0.1;2.72;0;68.2;37.2;0;15.7;0;2.87;0;0;0;0;0;10.8;0;0;0;0;0;0;0;0;3.8;0;0;3.3;0;0;0;0;52.6;0;0;0;0;0;0;0.23;0.25;0;0;1.47;0;3.7;1;0;0;77.2;14.9;3.56;0
Fibres;0;2.7;1.3;0;2.4;2.2;2.9;3.8;3.1;0;3.7;4.2;8.3;0.75;0;0;0.9;0;0.5;3.2;5.9;0;8.45;0;0.5;0;3;2;1.4;2.39;8.4;11.6;3.6;0.28;0;6.5;0;0;3.8;2.7;3.3;1.6;5.5;0;0;0;0;10.6;12.5;0;0;3.5;0.071;34.4;24.4;7.5;0;3.2;6;6.7;22.5;4.8;2.8;0;1.3;8.2;5;0
Glucose;0;0;0;0;3.8;0.2;0.56;0.1;0.49;0;0.08;0.45;16;0;0;0.002;0.5;1.85;0.3;0.1;0.94;0;0;0;0.18;0;0.3;2.8;1.3;1.45;0;0.3;0.16;2.47;0;0.75;0;0;2.3;3.9;0.7;5.4;0.12;0;0.14;0;0;0;0.2;0;0;0;0.08;0.3;0.3;0;0;0.9;0.13;0.2;0.3;0.8;0.59;35.3;0.05;0;0.13;0
Fructose;0;0;0;0;4.3;0.2;0.47;0.1;0.52;0;0.08;0;10.6;0;0;0.002;0.5;0.53;0.3;0.1;1.15;0;0;0;0.1;0;0.3;3.3;1.5;6.73;0;0.2;0.16;2.56;0;1.22;0;0;3.3;3.8;0.6;4.6;0.14;0;0.075;0;0;0;0.2;0;0;0;0.08;0;0;0;0;1.1;0.15;0;0.1;0.6;0.56;40.4;0.05;0;0.12;0
Galactose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.073;0;0;0;0;4.7;0;0;0;0;0;0;0.075;0;0;0;0;0;0;0;2.95;0;0;0;0;0;0;0;0;0;0;3.06;0;0;0;0
Saccharose;0;8.45;0.83;0.15;0.8;0.4;1.86;0.87;0.67;0;0.26;0.99;7.7;21.6;0;53.1;0.5;0.34;0.3;0.3;0.75;0;0.2;0;0.39;0;0;0;1.2;3.19;6.06;4.6;0;3.46;0;0.08;0.7;0;0;7.9;3.8;0;4.29;0;0.075;0;0;1.2;4;0;0;0;0;1.64;1.64;2.33;0;0.5;1.12;2.8;0.1;2.4;2.41;0.88;0.1;0.3;10.2;0
Lactose;0;0;0;0;0;0;3.23;0;2.29;0;1.06;0;0;0;0;0.002;0;0;0;0;2.76;0;0;0;0;0;0;0;0;0;0.58;0;0;0;0;0;0;0;0;0;0;2.8;0;0;0.075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.42;0;0;0;0
AG satures;0;0.032;0.028;20.1;0.13;0.03;0.042;0.14;0.73;4.44;0.21;0.74;0.19;17;7.26;0.48;0.006;0.64;0.17;0.26;1.07;1.01;0.092;0.51;1.35;2.66;0.14;0;0.024;0;8.24;4.75;4.51;0.053;0;0.048;11.7;0.051;0;0;0;0;0.049;20.6;3.22;0.58;8.14;1.22;4.11;15.2;85.4;0.13;5.26;3.33;4.26;16.1;2.39;0;8.66;6.45;0.7;0;0.12;0;0.18;0.46;10.1;0
AG monoinsatures;60;0.055;0.0035;7.35;0.16;0.01;0.002;0.31;5.02;5.45;0.16;1.04;0.12;0.91;59.7;0.19;0.006;0.29;0.18;0.18;3.13;0.92;0.13;0.33;1.91;1.35;0.13;0;0.02;0;29.1;44.2;12.3;0.023;0;0.048;4.24;0.021;0;0;0;0;0.024;7.23;4.01;0.78;7.9;2.18;34.4;73.1;4.02;0.07;1.62;2.31;8.19;23.9;4.7;0;16.2;14.1;2.1;0;0.23;0;0.21;0.82;25.5;0
Omega 6;0;0.11;0.021;0.481;0.07;0.04;0.077;0.49;0.98;0.27;0.41;0.96;0.09;0.16;18.6;0.016;0.006;0.04;0.31;0.55;1.93;0.035;0.15;0.24;4.26;0.12;0.06;0;0.056;0;8.49;5.35;2.68;0.031;0;0.22;0.36;0.002;0;0;0;0;0.13;0.7;1.3;0.41;0.27;1.65;10.5;6.52;0.61;0.07;0.128;5.84;6.49;23.9;0.442;0;20.7;36.14;0.009;0;0.37;0;0.17;1.5;12.22;0
Omega 3;0;0.06;0.016;0.209;0.18;0.01;0;0.07;0.02;2.33;0.028;0.078;0.06;0.02;7.83;0.014;0.006;0.01;0;0.03;0.48;1.082;0.032;0.018;0.55;3.48;0.12;0;0;0;0.07;0.05;0.15;0;0;0.19;0.06;0.001;0;0;0;0;0;0.18;0.088;0.03;0.073;0.073;0;0.65;0;0.37;0.025;17.8;19.6;0.018;1.93;0;0.12;7.5;0.001;0;0;0;0.01;0.08;0.027;0
Lipides;80;0.64;0.1;32.6;0.6;0.1;0.15;1.1;7.1;15.8;1;3.4;0.5;19.2;100;0.7;0.5;1.02;0.9;1.51;6.6;3.94;0.57;1.09;8.5;9.17;0.5;0.3;0.2;0.24;48.1;56.9;20.6;0.11;0;0.5;17.7;0.08;0;0.5;0;0;0.27;31;8.62;2;19.2;6.9;51.3;99.9;99.9;0.7;8.16;30.7;40.3;67.1;11.5;0;49.1;67.3;4.5;0;0.78;0;0.66;3;51.4;0
